command,intent
Bring the page higher up the page.,SCROLL_UP
Bring the page higher up the page .,SCROLL_UP
Bring the page higher up the page,SCROLL_UP
Bring the page higher up on the page.,SCROLL_UP
Bring the page higher up to bring the page higher.,SCROLL_UP
read this,READ_SECTION
Read this:,READ_SECTION
Read this book to read this,READ_SECTION
Read this .,READ_SECTION
Read this book to read this .,READ_SECTION
Read this book to read this.,READ_SECTION
read the page,READ_SECTION
Read the page read the page,READ_SECTION
Read the page to read the page,READ_SECTION
Read the page from the page,READ_SECTION
Read the page to read the page .,READ_SECTION
Read the page read the page .,READ_SECTION
read aloud,READ_SECTION
Read aloud aloud aloud,READ_SECTION
Read aloud read aloud aloud,READ_SECTION
"Read aloud aloud , read aloud , read aloud",READ_SECTION
"Read aloud aloud aloud , read aloud",READ_SECTION
"Read aloud aloud , read aloud",READ_SECTION
read content,READ_SECTION
Read content content is read content .,READ_SECTION
Read content content read content,READ_SECTION
Read content content read content read content,READ_SECTION
Read content is read content .,READ_SECTION
Read content read content content read content,READ_SECTION
start reading,READ_SECTION
Start reading now!,READ_SECTION
Start reading the first time you start reading .,READ_SECTION
Start reading the first time you start reading.,READ_SECTION
Start reading the first time you start reading,READ_SECTION
Start reading and start reading!,READ_SECTION
read what’s on screen,READ_SECTION
Read what’s on the screen to read what’s on the screen .,READ_SECTION
Read what’s on the screen to read what’s on screen .,READ_SECTION
Read what’s on screen to read what’s on screen .,READ_SECTION
Read what’s on screen to read what’s on the screen .,READ_SECTION
Read what’s on screen to see what’s on screen .,READ_SECTION
speak this page,READ_SECTION
This page speaks this page,READ_SECTION
This page speaks about this page,READ_SECTION
This page speaks about this page .,READ_SECTION
This page speaks this page .,READ_SECTION
This page speaks this page.,READ_SECTION
narrate this,READ_SECTION
This narrates narrate .,READ_SECTION
Narrate this narrate .,READ_SECTION
Narrate this narrator .,READ_SECTION
This narrates narrate this,READ_SECTION
Narrate this narrate this,READ_SECTION
read text here,READ_SECTION
Read the text here .,READ_SECTION
Text here read here .,READ_SECTION
Read text here to read text here,READ_SECTION
Text here read here to read text here,READ_SECTION
Read text here to read here,READ_SECTION
tell me what’s written,READ_SECTION
Tell me what’s written.,READ_SECTION
Tell me what’s written and tell me what’s written,READ_SECTION
Tell me what’s written and tell me what’s written .,READ_SECTION
Tell me what’s written,READ_SECTION
Tell me what’s written and tell me what is written,READ_SECTION
refresh,REFRESH_PAGE
Refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh,REFRESH_PAGE
Refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh,REFRESH_PAGE
Refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh,REFRESH_PAGE
Refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh,REFRESH_PAGE
Refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh refresh,REFRESH_PAGE
reload page,REFRESH_PAGE
Reload page reload page,REFRESH_PAGE
Page reload page,REFRESH_PAGE
Page reload page reload page,REFRESH_PAGE
Reload page page,REFRESH_PAGE
Reload page reload page .,REFRESH_PAGE
reload this tab,REFRESH_PAGE
Reload this tab .,REFRESH_PAGE
Reload this tab to reload .,REFRESH_PAGE
Reload this tab if you reload this tab .,REFRESH_PAGE
Reload this tab to reload this tab .,REFRESH_PAGE
Reload this tab reload .,REFRESH_PAGE
refresh the site,REFRESH_PAGE
Refresh the site to refresh the site.,REFRESH_PAGE
Refresh the site to refresh the site,REFRESH_PAGE
Refresh the site to refresh the site .,REFRESH_PAGE
Refresh the site to refresh the site regularly.,REFRESH_PAGE
Refresh the site refresh the site,REFRESH_PAGE
reload now,REFRESH_PAGE
Reload now reload .,REFRESH_PAGE
Reload now .,REFRESH_PAGE
Reload now and reload .,REFRESH_PAGE
Reload now reload,REFRESH_PAGE
Reload now.,REFRESH_PAGE
restart the page,REFRESH_PAGE
Start the page to restart the page,REFRESH_PAGE
The page restarts the page when the page is restarted .,REFRESH_PAGE
The page restarts the page when the page is restarted,REFRESH_PAGE
Start the page to restart the page.,REFRESH_PAGE
The page restarts the page when the page is restarted.,REFRESH_PAGE
update the page,REFRESH_PAGE
Update the page to update the page,REFRESH_PAGE
Update the page to update the page .,REFRESH_PAGE
Update the page update the page,REFRESH_PAGE
Update the page to update the page.,REFRESH_PAGE
Update the page update the page .,REFRESH_PAGE
reload browser,REFRESH_PAGE
Reload browser - Browser - Reload -,REFRESH_PAGE
Reload Browser - Browser - Reload -,REFRESH_PAGE
Reload browser to reload .,REFRESH_PAGE
Reload browser to reload browser,REFRESH_PAGE
Reload browser - Browser - Reload - Browser,REFRESH_PAGE
refresh screen,REFRESH_PAGE
Refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh,REFRESH_PAGE
Refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh,REFRESH_PAGE
Refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh,REFRESH_PAGE
Refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh,REFRESH_PAGE
Refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh screen refresh,REFRESH_PAGE
refresh this site,REFRESH_PAGE
This site is refreshed to refresh this site .,REFRESH_PAGE
This site is refreshed to refresh this site.,REFRESH_PAGE
Refresh this site to refresh this site .,REFRESH_PAGE
Refresh this site to refresh this site.,REFRESH_PAGE
This site is refreshed to refresh this site,REFRESH_PAGE
open new tab,NEW_TAB
New tab open new tab,NEW_TAB
New tab open tab open tab open tab open tab open tab open tab,NEW_TAB
New tab open tab open tab open tab open tab open tab,NEW_TAB
New tab open tab open tab open tab open new tab open tab,NEW_TAB
New tab open tab open tab open tab open new tab,NEW_TAB
make a new tab,NEW_TAB
Make a new tab in a new tab .,NEW_TAB
Make a new tab a new tab .,NEW_TAB
Make a new tab a new tab.,NEW_TAB
Make a new tab a new tab,NEW_TAB
Make a new tab on a new tab .,NEW_TAB
create new tab,NEW_TAB
Create new tab create new tab,NEW_TAB
Create a new tab create new tab,NEW_TAB
Create a new tab tab create new tab,NEW_TAB
Create a new tab to create new tab,NEW_TAB
Create a new tab tab Create new tab,NEW_TAB
start another tab,NEW_TAB
Start another tab to start another tab,NEW_TAB
Start another tab tab,NEW_TAB
Start another tab to start another tab .,NEW_TAB
Start another tab to start another tab.,NEW_TAB
Start another tab to start a new tab,NEW_TAB
new tab please,NEW_TAB
Please click on a new tab please click on a new tab please,NEW_TAB
Please click on a new tab please click on a new tab please .,NEW_TAB
Please click on a new tab please.,NEW_TAB
"Please click on a new tab please, please click on a new tab please.",NEW_TAB
"Please click on a new tab please, please click on a new tab please",NEW_TAB
add a tab,NEW_TAB
Add a tab to add a tab,NEW_TAB
Add a tab to add a tab .,NEW_TAB
Add a tab add a tab,NEW_TAB
Add a tab to add a tab to the tab .,NEW_TAB
Add a tab to add a tab to the tab.,NEW_TAB
launch a new tab,NEW_TAB
Launch a new tab launch a new tab,NEW_TAB
Launch a new tab to launch a new tab .,NEW_TAB
Launch a new tab launch a new tab .,NEW_TAB
Launch a new tab from a new tab .,NEW_TAB
Launch a new tab a new tab .,NEW_TAB
open fresh tab,NEW_TAB
Fresh tab open fresh tab open fresh tab,NEW_TAB
Open fresh tab open fresh tab,NEW_TAB
Open fresh tab fresh tab open fresh tab,NEW_TAB
Fresh tab open fresh tab open tab,NEW_TAB
Fresh tab open fresh tab,NEW_TAB
create another tab,NEW_TAB
Create another tab to create another tab,NEW_TAB
Create another tab create another tab,NEW_TAB
Create another tab to create another tab .,NEW_TAB
Create another tab to create another tab.,NEW_TAB
Create another tab create another tab tab,NEW_TAB
one more tab,NEW_TAB
One more tab tab,NEW_TAB
One more tab tab one more tab,NEW_TAB
One more tab tab is one more tab,NEW_TAB
One more tab tab is one more tab tab,NEW_TAB
One more tab tab.,NEW_TAB
close tab,CLOSE_TAB
Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab,CLOSE_TAB
Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab,CLOSE_TAB
Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab,CLOSE_TAB
Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab,CLOSE_TAB
Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab Close tab,CLOSE_TAB
close this tab,CLOSE_TAB
Close this tab close this tab,CLOSE_TAB
Close this tab to close this tab,CLOSE_TAB
Close this tab tab,CLOSE_TAB
Close this tab,CLOSE_TAB
Close this tab Close this tab,CLOSE_TAB
shut this tab,CLOSE_TAB
This tab has been closed this tab .,CLOSE_TAB
This tab has been closed this tab.,CLOSE_TAB
This tab is closed this tab,CLOSE_TAB
This tab has been closed this tab,CLOSE_TAB
This tab is closed this tab.,CLOSE_TAB
remove tab,CLOSE_TAB
Remove tab tab remove tab,CLOSE_TAB
Remove tab tab remove tab remove tab,CLOSE_TAB
Remove tab tab to remove tab,CLOSE_TAB
Remove tab remove tab Remove tab,CLOSE_TAB
Remove tab remove tab tab remove tab,CLOSE_TAB
end tab,CLOSE_TAB
End tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end,CLOSE_TAB
End tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab,CLOSE_TAB
End tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab,CLOSE_TAB
End tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab,CLOSE_TAB
End tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab end tab,CLOSE_TAB
kill this tab,CLOSE_TAB
Kill this tab kill this tab,CLOSE_TAB
Kill this tab tab kill this tab,CLOSE_TAB
Kill this tab kill this tab.,CLOSE_TAB
Kill this tab kill this tab .,CLOSE_TAB
Kill this tab Kill this tab,CLOSE_TAB
close the current tab,CLOSE_TAB
Close the current tab tab,CLOSE_TAB
Close the current tab tab and close the current tab .,CLOSE_TAB
Close the current tab tab and close the current tab,CLOSE_TAB
Close the current tab tab and close the current tab.,CLOSE_TAB
Close the current tab and close the current tab,CLOSE_TAB
exit tab,CLOSE_TAB
Tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab,CLOSE_TAB
Tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab,CLOSE_TAB
Tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab,CLOSE_TAB
Tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab,CLOSE_TAB
Tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab exit tab,CLOSE_TAB
shut it down,CLOSE_TAB
It shut it down and shut it down.,CLOSE_TAB
It shuts it down by shutting it down.,CLOSE_TAB
It shuts it down by shutting it down .,CLOSE_TAB
It shut it down and shut it down again.,CLOSE_TAB
It shuts it down when it shuts it down.,CLOSE_TAB
close browser tab,CLOSE_TAB
Close browser tab tab,CLOSE_TAB
Close browser tab tab Close browser tab,CLOSE_TAB
Close browser tab to close tab,CLOSE_TAB
Close browser tab close tab,CLOSE_TAB
Close browser tab tab close browser tab,CLOSE_TAB
next tab,NEXT_TAB
Next tab is the next tab tab,NEXT_TAB
Next tab is the next tab.,NEXT_TAB
Next tab is next tab,NEXT_TAB
Next tab next tab next tab next tab,NEXT_TAB
Next tab next tab next tab,NEXT_TAB
go to next tab,NEXT_TAB
Go to next tab and go to the next tab .,NEXT_TAB
Go to the next tab tab,NEXT_TAB
Go to the next tab tab .,NEXT_TAB
Go to the next tab tab.,NEXT_TAB
Go to next tab and go to the next tab.,NEXT_TAB
move to the right tab,NEXT_TAB
Move to the right tab and move to the right tab,NEXT_TAB
Move to the right tab and move to the right tab .,NEXT_TAB
Move to the right tab and move to the right tab.,NEXT_TAB
Move the right tab to the right tab,NEXT_TAB
Move to the right tab and move to the right tab ,NEXT_TAB
switch to next tab,NEXT_TAB
Switch to next tab switch to next tab,NEXT_TAB
Switch to the next tab to switch to the next tab,NEXT_TAB
Switch to next tab to switch to the next tab .,NEXT_TAB
Switch to next tab to switch to next tab .,NEXT_TAB
Switch to the next tab to switch to the next tab .,NEXT_TAB
show next tab,NEXT_TAB
Next tab show next tab,NEXT_TAB
Next tab shows next tab,NEXT_TAB
Next tab shows next tab .,NEXT_TAB
Next tab show next tab shows,NEXT_TAB
Next tab will show next tab,NEXT_TAB
forward tab,NEXT_TAB
Forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward tab forward,NEXT_TAB
